Mapped_sgRNA_sequence	Chrom	Start	End	Strand
4|sgUSP3_3|USP3	chr15	63570484	63570504	+
4|sgUSP3_4|USP3	chr15	63574061	63574081	+
4|sgFBXL22_2|FBXL22	chr15	63597543	63597563	-
4|sgFBXL22_1|FBXL22	chr15	63601300	63601320	+
4|sgFBXL22_4|FBXL22	chr15	63601363	63601383	+
4|sgFBXL22_3|FBXL22	chr15	63601406	63601426	+
4|sgHERC1_4|HERC1	chr15	63674479	63674499	-
4|sgHERC1_1|HERC1	chr15	63696290	63696310	+
4|sgHERC1_3|HERC1	chr15	63727718	63727738	+
4|sgHERC1_2|HERC1	chr15	63749503	63749523	-
4|sgDAPK2_1|DAPK2	chr15	63926046	63926066	-
4|sgDAPK2_4|DAPK2	chr15	63971470	63971490	-
4|sgDAPK2_3|DAPK2	chr15	63983551	63983571	-
4|sgDAPK2_2|DAPK2	chr15	63983711	63983731	-
4|sgFAM96A_1|FAM96A	chr15	64088691	64088711	+
4|sgFAM96A_3|FAM96A	chr15	64088834	64088854	-
4|sgFAM96A_2|FAM96A	chr15	64093720	64093740	-
4|sgFAM96A_4|FAM96A	chr15	64093761	64093781	-
4|sgSNX1_4|SNX1	chr15	64096096	64096116	+
4|sgSNX1_2|SNX1	chr15	64123524	64123544	+
4|sgSNX1_3|SNX1	chr15	64127762	64127782	-
4|sgSNX1_1|SNX1	chr15	64130299	64130319	+
4|sgSNX22_4|SNX22	chr15	64151828	64151848	+
4|sgSNX22_1|SNX22	chr15	64152303	64152323	+
4|sgSNX22_2|SNX22	chr15	64152671	64152691	+
4|sgSNX22_3|SNX22	chr15	64153316	64153336	+
4|sgPPIB_2|PPIB	chr15	64160120	64160140	-
4|sgPPIB_4|PPIB	chr15	64160145	64160165	+
4|sgPPIB_1|PPIB	chr15	64162072	64162092	-
4|sgPPIB_3|PPIB	chr15	64162853	64162873	-
4|sgCSNK1G1_1|CSNK1G1	chr15	64214044	64214064	-
4|sgCSNK1G1_2|CSNK1G1	chr15	64216593	64216613	+
4|sgCSNK1G1_3|CSNK1G1	chr15	64216658	64216678	+
4|sgCSNK1G1_4|CSNK1G1	chr15	64300376	64300396	+
4|sgKIAA0101_4|KIAA0101	chr15	64376852	64376872	-
4|sgKIAA0101_3|KIAA0101	chr15	64376857	64376877	+
4|sgKIAA0101_2|KIAA0101	chr15	64380964	64380984	-
4|sgKIAA0101_1|KIAA0101	chr15	64380999	64381019	+
4|sgTRIP4_2|TRIP4	chr15	64395415	64395435	+
4|sgTRIP4_1|TRIP4	chr15	64397697	64397717	-
4|sgTRIP4_4|TRIP4	chr15	64397796	64397816	-
4|sgTRIP4_3|TRIP4	chr15	64409743	64409763	-
4|sgGAPDH_4|GAPDH	chr15	64529383	64529403	-
4|sgZNF609_4|ZNF609	chr15	64670351	64670371	+
4|sgZNF609_3|ZNF609	chr15	64674328	64674348	-
4|sgZNF609_2|ZNF609	chr15	64674553	64674573	-
4|sgZNF609_1|ZNF609	chr15	64675512	64675532	+
4|sgOAZ2_1|OAZ2	chr15	64690386	64690406	+
4|sgOAZ2_3|OAZ2	chr15	64690467	64690487	-
4|sgOAZ2_2|OAZ2	chr15	64691482	64691502	-
4|sgOAZ2_4|OAZ2	chr15	64691507	64691527	+
4|sgRBPMS2_1|RBPMS2	chr15	64749008	64749028	-
4|sgRBPMS2_2|RBPMS2	chr15	64749470	64749490	+
4|sgRBPMS2_3|RBPMS2	chr15	64750372	64750392	-
4|sgRBPMS2_4|RBPMS2	chr15	64751592	64751612	+
4|sgPIF1_1|PIF1	chr15	64821161	64821181	+
4|sgPIF1_4|PIF1	chr15	64821415	64821435	+
4|sgPIF1_3|PIF1	chr15	64823774	64823794	-
4|sgPIF1_2|PIF1	chr15	64823883	64823903	+
4|sgPLEKHO2_2|PLEKHO2	chr15	64848678	64848698	-
4|sgPLEKHO2_4|PLEKHO2	chr15	64859953	64859973	+
4|sgPLEKHO2_1|PLEKHO2	chr15	64861550	64861570	+
4|sgPLEKHO2_3|PLEKHO2	chr15	64864983	64865003	+
4|sgANKDD1A_3|ANKDD1A	chr15	64917480	64917500	+
4|sgANKDD1A_4|ANKDD1A	chr15	64926112	64926132	+
4|sgANKDD1A_1|ANKDD1A	chr15	64934220	64934240	-
4|sgANKDD1A_2|ANKDD1A	chr15	64942557	64942577	-
4|sgSPG21_4|SPG21	chr15	64970145	64970165	-
4|sgSPG21_2|SPG21	chr15	64974655	64974675	+
4|sgSPG21_3|SPG21	chr15	64980853	64980873	+
4|sgSPG21_1|SPG21	chr15	64980951	64980971	+
4|sgMTFMT_3|MTFMT	chr15	65023720	65023740	+
4|sgMTFMT_4|MTFMT	chr15	65026846	65026866	+
4|sgMTFMT_2|MTFMT	chr15	65026922	65026942	-
4|sgMTFMT_1|MTFMT	chr15	65027005	65027025	-
4|sgSLC51B_2|SLC51B	chr15	65051522	65051542	-
4|sgSLC51B_3|SLC51B	chr15	65051551	65051571	+
4|sgSLC51B_1|SLC51B	chr15	65053001	65053021	+
4|sgSLC51B_4|SLC51B	chr15	65053027	65053047	-
4|sgRASL12_2|RASL12	chr15	65055257	65055277	-
4|sgRASL12_3|RASL12	chr15	65058490	65058510	-
4|sgRASL12_4|RASL12	chr15	65058523	65058543	+
4|sgRASL12_1|RASL12	chr15	65065218	65065238	-
4|sgKBTBD13_4|KBTBD13	chr15	65077102	65077122	+
4|sgKBTBD13_3|KBTBD13	chr15	65077431	65077451	-
4|sgKBTBD13_2|KBTBD13	chr15	65077513	65077533	-
4|sgKBTBD13_1|KBTBD13	chr15	65077599	65077619	+
4|sgUBAP1L_1|UBAP1L	chr15	65102094	65102114	+
4|sgUBAP1L_3|UBAP1L	chr15	65102358	65102378	-
4|sgUBAP1L_2|UBAP1L	chr15	65102600	65102620	-
4|sgUBAP1L_4|UBAP1L	chr15	65102603	65102623	+
4|sgPDCD7_1|PDCD7	chr15	65129125	65129145	-
4|sgPDCD7_2|PDCD7	chr15	65132968	65132988	+
4|sgPDCD7_3|PDCD7	chr15	65133099	65133119	-
4|sgPDCD7_4|PDCD7	chr15	65133370	65133390	+
4|sgCLPX_1|CLPX	chr15	65158564	65158584	+
4|sgCLPX_3|CLPX	chr15	65164154	65164174	+
4|sgCLPX_2|CLPX	chr15	65178968	65178988	-
4|sgCLPX_4|CLPX	chr15	65180104	65180124	+
4|sgCILP_4|CILP	chr15	65197986	65198006	+
4|sgCILP_3|CILP	chr15	65198229	65198249	-
4|sgCILP_1|CILP	chr15	65198859	65198879	-
4|sgCILP_2|CILP	chr15	65204316	65204336	+
4|sgPARP16_3|PARP16	chr15	65263193	65263213	+
4|sgPARP16_4|PARP16	chr15	65263304	65263324	-
4|sgPARP16_1|PARP16	chr15	65266743	65266763	-
4|sgPARP16_2|PARP16	chr15	65286260	65286280	+
4|sgIGDCC3_2|IGDCC3	chr15	65331100	65331120	-
4|sgIGDCC3_1|IGDCC3	chr15	65331509	65331529	+
4|sgIGDCC3_3|IGDCC3	chr15	65333346	65333366	-
4|sgIGDCC3_4|IGDCC3	chr15	65334787	65334807	-
4|sgIGDCC4_1|IGDCC4	chr15	65389373	65389393	+
4|sgIGDCC4_4|IGDCC4	chr15	65390324	65390344	-
4|sgIGDCC4_2|IGDCC4	chr15	65392256	65392276	-
4|sgIGDCC4_3|IGDCC4	chr15	65393437	65393457	-
4|sgDPP8_4|DPP8	chr15	65474245	65474265	-
4|sgDPP8_3|DPP8	chr15	65480368	65480388	+
4|sgDPP8_1|DPP8	chr15	65497865	65497885	-
4|sgDPP8_2|DPP8	chr15	65500597	65500617	+
4|sgPTPLAD1_2|PTPLAD1	chr15	65556845	65556865	+
4|sgPTPLAD1_3|PTPLAD1	chr15	65556849	65556869	-
4|sgPTPLAD1_1|PTPLAD1	chr15	65558687	65558707	+
4|sgPTPLAD1_4|PTPLAD1	chr15	65558705	65558725	-
4|sgVWA9_2|VWA9	chr15	65593425	65593445	-
4|sgVWA9_4|VWA9	chr15	65595734	65595754	-
4|sgVWA9_3|VWA9	chr15	65598322	65598342	-
4|sgVWA9_1|VWA9	chr15	65605150	65605170	-
4|sgSLC24A1_1|SLC24A1	chr15	65624320	65624340	+
4|sgSLC24A1_3|SLC24A1	chr15	65625212	65625232	-
4|sgSLC24A1_2|SLC24A1	chr15	65625399	65625419	+
4|sgSLC24A1_4|SLC24A1	chr15	65625879	65625899	+
4|sgDENND4A_1|DENND4A	chr15	65691352	65691372	-
4|sgDENND4A_2|DENND4A	chr15	65701861	65701881	-
4|sgDENND4A_3|DENND4A	chr15	65732746	65732766	+
4|sgDENND4A_4|DENND4A	chr15	65752536	65752556	+
4|sgHNRNPA1L2_3|HNRNPA1L2	chr15	65817382	65817402	-
4|sgRAB11A_2|RAB11A	chr15	65877374	65877394	-
4|sgRAB11A_4|RAB11A	chr15	65877421	65877441	-
4|sgRAB11A_1|RAB11A	chr15	65877817	65877837	+
4|sgRAB11A_3|RAB11A	chr15	65877899	65877919	+
4|sgMEGF11_2|MEGF11	chr15	65922444	65922464	+
4|sgMEGF11_3|MEGF11	chr15	65930832	65930852	+
4|sgMEGF11_1|MEGF11	chr15	65970560	65970580	-
4|sgMEGF11_4|MEGF11	chr15	66119102	66119122	-
4|sgDIS3L_3|DIS3L	chr15	66311763	66311783	-
4|sgDIS3L_2|DIS3L	chr15	66315078	66315098	+
4|sgDIS3L_4|DIS3L	chr15	66323546	66323566	-
4|sgDIS3L_1|DIS3L	chr15	66326074	66326094	+
4|sgTIPIN_2|TIPIN	chr15	66349406	66349426	-
4|sgTIPIN_4|TIPIN	chr15	66352130	66352150	-
4|sgTIPIN_3|TIPIN	chr15	66352816	66352836	-
4|sgMAP2K1_2|MAP2K1	chr15	66435077	66435097	+
4|sgMAP2K1_4|MAP2K1	chr15	66436841	66436861	+
4|sgMAP2K1_1|MAP2K1	chr15	66481770	66481790	+
4|sgMAP2K1_3|MAP2K1	chr15	66481857	66481877	+
4|sgSNAPC5_4|SNAPC5	chr15	66495324	66495344	+
4|sgSNAPC5_1|SNAPC5	chr15	66495376	66495396	-
4|sgSNAPC5_3|SNAPC5	chr15	66497643	66497663	-
4|sgSNAPC5_2|SNAPC5	chr15	66497703	66497723	-
4|sgRPL4_1|RPL4	chr15	66501369	66501389	+
4|sgRPL4_4|RPL4	chr15	66501900	66501920	-
4|sgRPL4_3|RPL4	chr15	66502739	66502759	-
4|sgRPL4_2|RPL4	chr15	66503139	66503159	-
4|sgZWILCH_1|ZWILCH	chr15	66514052	66514072	+
4|sgZWILCH_4|ZWILCH	chr15	66519056	66519076	+
4|sgZWILCH_3|ZWILCH	chr15	66521092	66521112	-
4|sgZWILCH_2|ZWILCH	chr15	66529491	66529511	-
4|sgLCTL_3|LCTL	chr15	66553127	66553147	-
4|sgLCTL_4|LCTL	chr15	66557823	66557843	-
4|sgLCTL_2|LCTL	chr15	66560995	66561015	+
4|sgLCTL_1|LCTL	chr15	66563980	66564000	-
4|sgSMAD6_2|SMAD6	chr15	66703462	66703482	-
4|sgSMAD6_4|SMAD6	chr15	66703941	66703961	-
4|sgSMAD6_3|SMAD6	chr15	66704021	66704041	-
4|sgSMAD6_1|SMAD6	chr15	66711702	66711722	+
4|sgSMAD3_4|SMAD3	chr15	67165260	67165280	-
4|sgSMAD3_2|SMAD3	chr15	67165368	67165388	-
4|sgSMAD3_3|SMAD3	chr15	67170582	67170602	+
4|sgSMAD3_1|SMAD3	chr15	67181370	67181390	-
4|sgAAGAB_3|AAGAB	chr15	67231823	67231843	+
4|sgAAGAB_2|AAGAB	chr15	67236028	67236048	-
4|sgAAGAB_4|AAGAB	chr15	67236473	67236493	+
4|sgAAGAB_1|AAGAB	chr15	67236709	67236729	-
4|sgIQCH_4|IQCH	chr15	67263183	67263203	+
4|sgIQCH_3|IQCH	chr15	67344151	67344171	-
4|sgIQCH_1|IQCH	chr15	67372414	67372434	+
4|sgIQCH_2|IQCH	chr15	67395368	67395388	+
4|sgC15orf61_3|C15orf61	chr15	67521270	67521290	-
4|sgC15orf61_2|C15orf61	chr15	67521386	67521406	-
4|sgC15orf61_4|C15orf61	chr15	67521442	67521462	-
4|sgC15orf61_1|C15orf61	chr15	67521473	67521493	+
4|sgMAP2K5_1|MAP2K5	chr15	67543446	67543466	-
4|sgMAP2K5_4|MAP2K5	chr15	67586839	67586859	+
4|sgMAP2K5_3|MAP2K5	chr15	67600705	67600725	+
4|sgMAP2K5_2|MAP2K5	chr15	67646232	67646252	+
4|sgSKOR1_1|SKOR1	chr15	67824844	67824864	+
4|sgSKOR1_4|SKOR1	chr15	67824999	67825019	-
4|sgSKOR1_2|SKOR1	chr15	67826355	67826375	+
4|sgSKOR1_3|SKOR1	chr15	67827599	67827619	-
4|sgPIAS1_1|PIAS1	chr15	68054319	68054339	+
4|sgPIAS1_4|PIAS1	chr15	68142001	68142021	-
4|sgPIAS1_3|PIAS1	chr15	68153629	68153649	-
4|sgCALML4_4|CALML4	chr15	68197581	68197601	+
4|sgCALML4_2|CALML4	chr15	68199529	68199549	+
4|sgCALML4_1|CALML4	chr15	68199612	68199632	-
4|sgCALML4_3|CALML4	chr15	68205323	68205343	+
4|sgCLN6_1|CLN6	chr15	68211264	68211284	-
4|sgCLN6_3|CLN6	chr15	68211706	68211726	+
4|sgCLN6_2|CLN6	chr15	68211854	68211874	-
4|sgCLN6_4|CLN6	chr15	68214356	68214376	+
4|sgFEM1B_4|FEM1B	chr15	68278656	68278676	-
4|sgFEM1B_1|FEM1B	chr15	68289843	68289863	+
4|sgFEM1B_3|FEM1B	chr15	68289992	68290012	+
4|sgFEM1B_2|FEM1B	chr15	68290196	68290216	-
4|sgITGA11_1|ITGA11	chr15	68326752	68326772	-
4|sgITGA11_2|ITGA11	chr15	68332447	68332467	-
4|sgITGA11_4|ITGA11	chr15	68350758	68350778	-
4|sgITGA11_3|ITGA11	chr15	68361653	68361673	-
4|sgCORO2B_2|CORO2B	chr15	68695147	68695167	+
4|sgCORO2B_3|CORO2B	chr15	68710733	68710753	+
4|sgCORO2B_4|CORO2B	chr15	68711594	68711614	-
4|sgCORO2B_1|CORO2B	chr15	68713938	68713958	+
4|sgANP32A_2|ANP32A	chr15	68784485	68784505	-
4|sgANP32A_3|ANP32A	chr15	68787395	68787415	+
4|sgANP32A_1|ANP32A	chr15	68787507	68787527	-
4|sgANP32A_4|ANP32A	chr15	68787818	68787838	-
4|sgSPESP1_4|SPESP1	chr15	68945753	68945773	+
4|sgSPESP1_2|SPESP1	chr15	68945839	68945859	-
4|sgSPESP1_3|SPESP1	chr15	68945983	68946003	+
4|sgSPESP1_1|SPESP1	chr15	68946187	68946207	-
4|sgNOX5_3|NOX5	chr15	69031707	69031727	+
4|sgNOX5_4|NOX5	chr15	69035444	69035464	+
4|sgNOX5_2|NOX5	chr15	69035929	69035949	-
4|sgNOX5_1|NOX5	chr15	69038884	69038904	-
4|sgGLCE_3|GLCE	chr15	69255988	69256008	+
4|sgGLCE_1|GLCE	chr15	69256363	69256383	+
4|sgGLCE_2|GLCE	chr15	69261193	69261213	-
4|sgGLCE_4|GLCE	chr15	69261305	69261325	-
4|sgPAQR5_4|PAQR5	chr15	69379917	69379937	-
4|sgPAQR5_3|PAQR5	chr15	69384746	69384766	-
4|sgPAQR5_1|PAQR5	chr15	69389662	69389682	-
4|sgPAQR5_2|PAQR5	chr15	69389731	69389751	-
4|sgKIF23_4|KIF23	chr15	69426392	69426412	-
4|sgKIF23_3|KIF23	chr15	69435725	69435745	+
4|sgKIF23_1|KIF23	chr15	69436561	69436581	+
4|sgKIF23_2|KIF23	chr15	69439917	69439937	+
4|sgRPLP1_1|RPLP1	chr15	69453680	69453700	-
4|sgRPLP1_2|RPLP1	chr15	69455199	69455219	+
4|sgTLE3_1|TLE3	chr15	70055127	70055147	-
4|sgTLE3_3|TLE3	chr15	70057571	70057591	+
4|sgTLE3_2|TLE3	chr15	70060599	70060619	-
4|sgTLE3_4|TLE3	chr15	70095618	70095638	+
4|sgUACA_1|UACA	chr15	70669227	70669247	-
4|sgUACA_2|UACA	chr15	70669432	70669452	+
4|sgUACA_3|UACA	chr15	70684417	70684437	+
4|sgUACA_4|UACA	chr15	70695079	70695099	+
4|sgLARP6_3|LARP6	chr15	70832685	70832705	-
4|sgLARP6_4|LARP6	chr15	70832837	70832857	-
4|sgLARP6_1|LARP6	chr15	70833100	70833120	-
4|sgLARP6_2|LARP6	chr15	70836470	70836490	-
4|sgTHAP10_4|THAP10	chr15	70882852	70882872	+
4|sgTHAP10_3|THAP10	chr15	70891879	70891899	+
4|sgTHAP10_1|THAP10	chr15	70891976	70891996	-
4|sgTHAP10_2|THAP10	chr15	70892125	70892145	+
4|sgLRRC49_1|LRRC49	chr15	70895886	70895906	-
4|sgLRRC49_2|LRRC49	chr15	70904563	70904583	+
4|sgLRRC49_3|LRRC49	chr15	70963886	70963906	-
4|sgLRRC49_4|LRRC49	chr15	70984113	70984133	+
4|sgCT62_4|CT62	chr15	71111343	71111363	-
4|sgCT62_2|CT62	chr15	71111386	71111406	+
4|sgCT62_3|CT62	chr15	71112149	71112169	-
4|sgCT62_1|CT62	chr15	71112186	71112206	+
4|sgHMGB1_2|HMGB1	chr15	71165269	71165289	-
4|sgTHSD4_1|THSD4	chr15	71242725	71242745	+
4|sgTHSD4_3|THSD4	chr15	71242970	71242990	+
4|sgTHSD4_4|THSD4	chr15	71660663	71660683	-
4|sgTHSD4_2|THSD4	chr15	71731151	71731171	+
4|sgNR2E3_4|NR2E3	chr15	71811493	71811513	+
4|sgNR2E3_2|NR2E3	chr15	71811572	71811592	+
4|sgNR2E3_3|NR2E3	chr15	71812008	71812028	+
4|sgNR2E3_1|NR2E3	chr15	71812434	71812454	-
4|sgMYO9A_2|MYO9A	chr15	71897780	71897800	-
4|sgMYO9A_4|MYO9A	chr15	71903988	71904008	-
4|sgMYO9A_1|MYO9A	chr15	71994543	71994563	+
4|sgMYO9A_3|MYO9A	chr15	72046153	72046173	-
4|sgSENP8_4|SENP8	chr15	72139642	72139662	+
4|sgSENP8_3|SENP8	chr15	72139840	72139860	-
4|sgSENP8_2|SENP8	chr15	72139927	72139947	-
4|sgSENP8_1|SENP8	chr15	72139994	72140014	+
4|sgGRAMD2_4|GRAMD2	chr15	72163651	72163671	+
4|sgGRAMD2_2|GRAMD2	chr15	72166658	72166678	+
4|sgGRAMD2_1|GRAMD2	chr15	72167027	72167047	-
4|sgGRAMD2_3|GRAMD2	chr15	72168951	72168971	-
4|sgPKM_1|PKM	chr15	72208630	72208650	-
4|sgPKM_4|PKM	chr15	72208717	72208737	-
4|sgPKM_3|PKM	chr15	72218982	72219002	+
4|sgPARP6_2|PARP6	chr15	72254505	72254525	-
4|sgPARP6_1|PARP6	chr15	72259614	72259634	+
4|sgPARP6_3|PARP6	chr15	72261681	72261701	+
4|sgPARP6_4|PARP6	chr15	72265396	72265416	+
4|sgCELF6_1|CELF6	chr15	72289227	72289247	-
4|sgCELF6_3|CELF6	chr15	72289419	72289439	-
4|sgCELF6_2|CELF6	chr15	72289624	72289644	-
4|sgCELF6_4|CELF6	chr15	72289989	72290009	+
4|sgHEXA_3|HEXA	chr15	72348084	72348104	-
4|sgHEXA_2|HEXA	chr15	72350584	72350604	-
4|sgHEXA_4|HEXA	chr15	72355579	72355599	+
4|sgHEXA_1|HEXA	chr15	72375755	72375775	+
4|sgTMEM202_4|TMEM202	chr15	72398680	72398700	+
4|sgTMEM202_3|TMEM202	chr15	72398730	72398750	+
4|sgTMEM202_1|TMEM202	chr15	72406599	72406619	+
4|sgTMEM202_2|TMEM202	chr15	72406675	72406695	+
4|sgARIH1_2|ARIH1	chr15	72474737	72474757	+
4|sgARIH1_1|ARIH1	chr15	72474974	72474994	+
4|sgARIH1_3|ARIH1	chr15	72544942	72544962	+
4|sgARIH1_4|ARIH1	chr15	72563437	72563457	-
4|sgGOLGA6B_4|GOLGA6B	chr15	72656540	72656560	-
4|sgGOLGA6D_2|GOLGA6D	chr15	72656589	72656609	+
4|sgGOLGA6C_3|GOLGA6C	chr15	72656606	72656626	+
4|sgGOLGA6B_1|GOLGA6B	chr15	72661276	72661296	+
4|sgGOLGA6C_4|GOLGA6C	chr15	72662287	72662307	-
4|sgGOLGA6B_2|GOLGA6B	chr15	72662348	72662368	+
4|sgHIGD2B_3|HIGD2B	chr15	72686129	72686149	-
4|sgHIGD2B_4|HIGD2B	chr15	72686130	72686150	-
4|sgHIGD2B_2|HIGD2B	chr15	72686132	72686152	-
4|sgHIGD2B_1|HIGD2B	chr15	72686147	72686167	-
4|sgBBS4_1|BBS4	chr15	72709697	72709717	-
4|sgBBS4_4|BBS4	chr15	72715364	72715384	-
4|sgBBS4_3|BBS4	chr15	72731338	72731358	-
4|sgBBS4_2|BBS4	chr15	72731625	72731645	-
4|sgADPGK_4|ADPGK	chr15	72755584	72755604	-
4|sgADPGK_3|ADPGK	chr15	72756291	72756311	+
4|sgADPGK_1|ADPGK	chr15	72756398	72756418	+
4|sgADPGK_2|ADPGK	chr15	72771837	72771857	-
4|sgNEO1_1|NEO1	chr15	73122560	73122580	-
4|sgNEO1_3|NEO1	chr15	73236453	73236473	-
4|sgNEO1_2|NEO1	chr15	73249087	73249107	-
4|sgNEO1_4|NEO1	chr15	73270115	73270135	+
4|sgHCN4_3|HCN4	chr15	73324130	73324150	-
4|sgHCN4_4|HCN4	chr15	73343393	73343413	-
4|sgHCN4_1|HCN4	chr15	73367525	73367545	-
4|sgHCN4_2|HCN4	chr15	73367894	73367914	-
4|sgREC114_3|REC114	chr15	73443209	73443229	+
4|sgREC114_4|REC114	chr15	73443268	73443288	-
4|sgREC114_2|REC114	chr15	73540516	73540536	+
4|sgREC114_1|REC114	chr15	73551090	73551110	+
4|sgNPTN_4|NPTN	chr15	73587559	73587579	+
4|sgNPTN_1|NPTN	chr15	73597019	73597039	+
4|sgNPTN_2|NPTN	chr15	73597166	73597186	+
4|sgNPTN_3|NPTN	chr15	73597327	73597347	-
4|sgCD276_4|CD276	chr15	73702369	73702389	-
4|sgCD276_1|CD276	chr15	73702476	73702496	+
4|sgCD276_3|CD276	chr15	73702908	73702928	-
4|sgCD276_2|CD276	chr15	73703801	73703821	+
4|sgC15orf59_1|C15orf59	chr15	73740300	73740320	+
4|sgC15orf59_4|C15orf59	chr15	73740356	73740376	+
4|sgC15orf59_2|C15orf59	chr15	73740594	73740614	+
4|sgC15orf59_3|C15orf59	chr15	73750991	73751011	+
4|sgTBC1D21_1|TBC1D21	chr15	73873758	73873778	-
4|sgTBC1D21_4|TBC1D21	chr15	73881641	73881661	+
4|sgTBC1D21_3|TBC1D21	chr15	73881684	73881704	-
4|sgTBC1D21_2|TBC1D21	chr15	73884865	73884885	+
4|sgLOXL1_3|LOXL1	chr15	73927151	73927171	+
4|sgLOXL1_2|LOXL1	chr15	73927348	73927368	+
4|sgLOXL1_1|LOXL1	chr15	73927598	73927618	-
4|sgLOXL1_4|LOXL1	chr15	73927857	73927877	+
4|sgSTOML1_4|STOML1	chr15	73985343	73985363	-
4|sgSTOML1_3|STOML1	chr15	73988742	73988762	+
4|sgSTOML1_2|STOML1	chr15	73989239	73989259	-
4|sgSTOML1_1|STOML1	chr15	73990409	73990429	+
4|sgPML_3|PML	chr15	73998184	73998204	-
4|sgPML_2|PML	chr15	73998322	73998342	+
4|sgPML_4|PML	chr15	74023133	74023153	+
4|sgPML_1|PML	chr15	74032669	74032689	-
4|sgGOLGA6A_4|GOLGA6A	chr15	74074846	74074866	+
4|sgGOLGA6D_4|GOLGA6D	chr15	74074884	74074904	-
4|sgGOLGA6A_3|GOLGA6A	chr15	74075939	74075959	+
4|sgGOLGA6A_1|GOLGA6A	chr15	74080620	74080640	-
4|sgISLR2_1|ISLR2	chr15	74132908	74132928	-
4|sgISLR2_3|ISLR2	chr15	74133605	74133625	+
4|sgISLR2_2|ISLR2	chr15	74133845	74133865	+
4|sgISLR2_4|ISLR2	chr15	74134145	74134165	-
4|sgISLR_1|ISLR	chr15	74174970	74174990	-
4|sgISLR_4|ISLR	chr15	74175220	74175240	-
4|sgISLR_2|ISLR	chr15	74175418	74175438	+
4|sgISLR_3|ISLR	chr15	74175497	74175517	-
4|sgSTRA6_1|STRA6	chr15	74189193	74189213	+
4|sgSTRA6_2|STRA6	chr15	74191458	74191478	-
4|sgSTRA6_3|STRA6	chr15	74196018	74196038	+
4|sgSTRA6_4|STRA6	chr15	74197785	74197805	-
4|sgCCDC33_4|CCDC33	chr15	74262535	74262555	+
4|sgCCDC33_3|CCDC33	chr15	74271749	74271769	-
4|sgCCDC33_1|CCDC33	chr15	74279995	74280015	-
4|sgCCDC33_2|CCDC33	chr15	74330186	74330206	+
4|sgCYP11A1_1|CYP11A1	chr15	74343070	74343090	-
4|sgCYP11A1_2|CYP11A1	chr15	74345083	74345103	-
4|sgCYP11A1_4|CYP11A1	chr15	74347929	74347949	+
4|sgCYP11A1_3|CYP11A1	chr15	74367387	74367407	-
4|sgSEMA7A_1|SEMA7A	chr15	74417332	74417352	+
4|sgSEMA7A_2|SEMA7A	chr15	74417634	74417654	+
4|sgSEMA7A_3|SEMA7A	chr15	74418288	74418308	-
4|sgSEMA7A_4|SEMA7A	chr15	74433747	74433767	-
4|sgUBL7_3|UBL7	chr15	74449978	74449998	+
4|sgUBL7_4|UBL7	chr15	74456544	74456564	+
4|sgUBL7_1|UBL7	chr15	74456586	74456606	+
4|sgUBL7_2|UBL7	chr15	74458760	74458780	-
4|sgARID3B_2|ARID3B	chr15	74544086	74544106	-
4|sgARID3B_3|ARID3B	chr15	74544167	74544187	+
4|sgARID3B_4|ARID3B	chr15	74573182	74573202	+
4|sgCLK3_1|CLK3	chr15	74619294	74619314	+
4|sgCLK3_2|CLK3	chr15	74625804	74625824	-
4|sgCLK3_4|CLK3	chr15	74625925	74625945	-
4|sgCLK3_3|CLK3	chr15	74627558	74627578	+
4|sgEDC3_2|EDC3	chr15	74655775	74655795	-
4|sgEDC3_3|EDC3	chr15	74655975	74655995	-
4|sgEDC3_4|EDC3	chr15	74656049	74656069	+
4|sgEDC3_1|EDC3	chr15	74674984	74675004	+
4|sgCYP1A1_4|CYP1A1	chr15	74721484	74721504	+
4|sgCYP1A1_3|CYP1A1	chr15	74722274	74722294	-
4|sgCYP1A1_2|CYP1A1	chr15	74722421	74722441	-
4|sgCYP1A1_1|CYP1A1	chr15	74722847	74722867	-
4|sgCYP1A2_4|CYP1A2	chr15	74749885	74749905	-
4|sgCYP1A2_3|CYP1A2	chr15	74749974	74749994	-
4|sgCYP1A2_2|CYP1A2	chr15	74750292	74750312	+
4|sgCYP1A2_1|CYP1A2	chr15	74751247	74751267	+
4|sgCSK_3|CSK	chr15	74799268	74799288	-
4|sgCSK_2|CSK	chr15	74799367	74799387	-
4|sgCSK_1|CSK	chr15	74800449	74800469	+
4|sgCSK_4|CSK	chr15	74800825	74800845	+
4|sgLMAN1L_3|LMAN1L	chr15	74812941	74812961	-
4|sgLMAN1L_1|LMAN1L	chr15	74816423	74816443	+
4|sgLMAN1L_4|LMAN1L	chr15	74818746	74818766	-
4|sgLMAN1L_2|LMAN1L	chr15	74818782	74818802	+
4|sgCPLX3_3|CPLX3	chr15	74826767	74826787	+
4|sgCPLX3_4|CPLX3	chr15	74826837	74826857	+
4|sgCPLX3_1|CPLX3	chr15	74828065	74828085	+
4|sgCPLX3_2|CPLX3	chr15	74828089	74828109	+
4|sgULK3_3|ULK3	chr15	74840235	74840255	-
4|sgULK3_2|ULK3	chr15	74840513	74840533	+
4|sgULK3_1|ULK3	chr15	74840594	74840614	+
4|sgULK3_4|ULK3	chr15	74842326	74842346	+
4|sgSCAMP2_4|SCAMP2	chr15	74850530	74850550	+
